Time, radar measured  rho, radar measured phi, radar measured rho_dot 
6500000,6.36544,-2.3948,-1.74803
6500000,29.5456,0.170481,7.23023
6533333,21.8482,-0.0166279,1.23098
6533333,6.21859,-2.44748,-1.57408
6533333,29.6979,0.110963,7.40933
6566666,21.2917,-0.0503591,1.79935
6566666,5.56874,-2.47514,-1.00768
6566666,29.3474,0.0760574,7.97953
6600000,21.4597,0.0281762,1.15614
6600000,5.64334,-2.39008,-1.65144
6600000,29.7215,0.153448,7.33809
6633333,22.1019,0.0107864,1.3071
6633333,6.19203,-2.40048,-1.49948
6633333,30.5697,0.134942,7.49077
6666666,21.6187,0.0615985,1.3491
6666666,5.61552,-2.34219,-1.45479
6666666,30.2927,0.184666,7.53443
6700000,22.1375,-0.00417896,1.44297
6700000,6.04095,-2.39998,-1.35637
6700000,31.0176,0.117828,7.6299
6733333,21.0542,-0.0179496,1.20821
6733333,4.86456,-2.40523,-1.58456
6733333,30.1406,0.103022,7.3967
6766666,22.379,0.0244553,1.24387
6766666,6.09656,-2.35375,-1.54013
6766666,31.6717,0.144417,7.43386
6800000,22.2918,-0.0495213,0.807004
6800000,5.91681,-2.41807,-1.9658
6800000,31.7909,0.0694555,6.99845
6833333,22.5399,0.0332547,1.13506
6833333,6.07276,-2.32503,-1.62391
6833333,32.2453,0.15127,7.32792
6866666,22.2165,0.0351701,1.24054
6866666,5.65776,-2.3122,-1.50173
6866666,32.1284,0.152247,7.43477
6900000,21.9536,-2.15985e-05,1.33155
6900000,5.30378,-2.33582,-1.39089
6900000,32.072,0.116139,7.5271
6933333,22.2957,-0.0309561,0.478771
6933333,5.55558,-2.35447,-2.2204
6933333,32.6206,0.0843101,6.67561
6966666,22.208,0.00681569,0.813638
6966666,5.37834,-2.30367,-1.85853
6966666,32.7395,0.121208,7.01173
7000000,22.1649,0.0424074,0.00781881
7000000,5.2467,-2.25426,-2.63326
7000000,32.903,0.155947,6.20712
7033333,22.3268,0.0184286,0.0754049
7033333,5.32111,-2.2636,-2.53012
7033333,33.2715,0.131135,6.27589
7066666,22.041,0.0073765,0.30806
7066666,4.9491,-2.25915,-2.25706
7066666,33.1924,0.119269,6.50968
7100000,22.0632,-0.0428396,0.375392
7100000,4.88647,-2.29294,-2.144
7100000,33.4214,0.068257,6.57813
7133333,22.5978,0.0359093,0.528742
7133333,5.33784,-2.1968,-1.93912
7133333,34.1627,0.146229,6.73256
7166666,22.2324,0.0399043,0.118737
7166666,4.89105,-2.1744,-2.29128
7166666,34.0041,0.149464,6.32361
7200000,22.764,-0.00517602,-0.227184
7200000,5.34332,-2.2,-2.57246
7200000,34.7426,0.103641,5.97871
7233333,22.2916,0.0232791,-0.108413
7233333,4.79368,-2.15094,-2.38145
7233333,34.477,0.131371,6.09847
7266666,22.1481,-0.00631289,0.186207
7266666,4.57555,-2.15875,-2.00642
7266666,34.5404,0.101069,6.39406
7300000,22.4805,0.0272462,-0.124368
7300000,4.83613,-2.10216,-2.22772
7300000,35.0798,0.133935,6.08443
7333333,22.5318,0.00128789,0.118879
7333333,4.81874,-2.10379,-1.88558
7333333,35.3381,0.107298,6.3286
7366666,22.6782,-0.0152253,0.0655775
7366666,4.89985,-2.09461,-1.82959
7366666,35.6915,0.0901223,6.27619
7400000,22.2892,0.0145476,0.223427
7400000,4.44932,-2.03774,-1.55124
7400000,35.5095,0.119247,6.43491
7433333,22.1129,-0.029277,-0.13501
7433333,4.21566,-2.05301,-1.77712
7433333,35.5403,0.074788,6.07733
7466666,22.513,-0.0125271,-0.402748
7466666,4.56299,-2.00619,-1.89941
7466666,36.1474,0.0909177,5.81042
7500000,22.1888,-0.0438056,-0.217918
7500000,4.19111,-2.00585,-1.5554
7500000,36.0304,0.0590326,6.06232
7533333,22.7329,0.0320367,-0.625352
7533333,4.69294,-1.89681,-1.78911
7533333,36.7838,0.134275,5.72194
7566666,22.1962,0.0244004,-0.463399
7566666,4.11999,-1.86965,-1.43814
7566666,36.4587,0.126045,5.95095
7600000,21.7553,0.00567987,-0.99286
7600000,3.64935,-1.85199,-1.76265
7600000,36.2316,0.106737,5.48853
7633333,22.5881,-0.00155559,-1.34383
7633333,4.45948,-1.82126,-1.8922
7633333,37.2804,0.0989203,5.2046
7666666,22.6372,-0.0127313,-0.667019
7666666,4.49349,-1.79292,-0.977128
7666666,37.5478,0.0871696,5.94845
7700000,21.7499,-0.0184165,-0.64595
7700000,3.59924,-1.75761,-0.70081
7700000,36.881,0.0809154,6.03654
