Time, lidar measured x, lidar measured y 
3333333,0.05759,4.17037
3366666,8.43231,1.65903
3366666,4.82996,-4.05776
3366666,0.599646,3.95188
3400000,8.061,1.75981
3400000,4.09607,-3.84931
3400000,0.32242,4.15819
3433333,8.4944,1.57308
3433333,4.16483,-3.93154
3433333,0.850062,4.0738
3466666,8.94744,1.4939
3466666,4.25122,-3.90947
3466666,1.39755,4.0937
3500000,8.72779,1.1671
3500000,3.66298,-4.13828
3500000,1.27263,3.8627
3533333,9.09313,1.18951
3533333,3.65785,-4.02118
3533333,1.73305,3.97758
3566666,9.26358,1.19256
3566666,3.45602,-3.9268
3566666,1.99899,4.06973
3600000,9.52954,0.931952
3600000,3.34795,-4.09944
3600000,2.36091,3.89484
3633333,9.65806,1.01788
3633333,3.10075,-3.92896
3633333,2.58593,4.06305
3666666,9.89481,0.814054
3666666,2.96017,-4.05167
3666666,2.91977,3.93806
3700000,10.0809,0.56977
3700000,2.76742,-4.21831
3700000,3.20369,3.76911
3733333,10.1368,0.830983
3733333,2.44288,-3.88296
3733333,3.35802,4.10213
3766666,10.207,0.680609
3766666,2.13138,-3.96273
3766666,3.52763,4.02002
3800000,10.525,0.776996
3800000,2.06621,-3.79929
3800000,3.94578,4.1811
3833333,10.365,0.465207
3833333,1.52182,-4.04762
3833333,3.88694,3.93039
3866666,11.1297,0.378008
3866666,1.90098,-4.07496
3866666,4.75387,3.90066
3900000,11.2661,0.375879
3900000,1.65062,-4.02086
3900000,4.9935,3.95234
3933333,11.0937,0.594395
3933333,1.09043,-3.74977
3933333,4.92552,4.221
3966666,11.2136,0.246315
3966666,0.821563,-4.04894
3966666,5.15108,3.91937
4000000,11.8334,0.286715
4000000,1.05176,-3.96333
4000000,5.87794,4.00251
4033333,12.0075,0.141653
4033333,0.83859,-4.06688
4033333,6.16031,3.89646
4066666,11.873,0.0902818
4066666,0.319484,-4.08047
4066666,6.13564,3.88037
4100000,12.2231,0.189283
4100000,0.287596,-3.94742
4100000,6.59708,4.01089
4133333,12.5673,0.0932628
4133333,0.252445,-4.01314
4133333,7.05414,3.94262
4166666,12.4716,0.0975864
4166666,-0.219772,-3.98228
4166666,7.07302,3.97091
4200000,12.7943,0.151683
4200000,-0.27074,-3.90542
4200000,7.51204,4.04519
4233333,12.9944,-0.228861
4233333,-0.44137,-4.26699
4233333,7.83029,3.68103
4266666,12.8877,0.17463
4266666,-0.915774,-3.8483
4266666,7.84365,4.09709
4300000,13.3885,-0.13501
4300000,-0.779646,-4.14654
4300000,8.46644,3.79621
4333333,13.6004,0.110137
4333333,-0.929259,-3.89379
4333333,8.80237,4.04631
4366666,13.7082,-0.0846352
4366666,-1.17979,-4.08476
4366666,9.03627,3.85266
4400000,13.9836,-0.0577655
4400000,-1.25939,-4.05789
4400000,9.44,3.87684
4433333,13.9996,-0.0501207
4433333,-1.59281,-4.05024
4433333,9.58879,3.88177
4466666,14.5287,-0.130708
4466666,-1.40763,-4.13083
4466666,10.2551,3.79845
4500000,14.3499,0.05258
4500000,-1.92477,-3.94754
4500000,10.2179,3.97899
