Time, estimated x, estimated y, estimated v, estimated yaw 
3266666,5.21156,-4.07514,-5.96871,0.0380371
3266666,-0.538467,3.94288,6.52079,0.283073
3300000,7.91472,1.95471,5.93931,-0.631884
3300000,5.01683,-4.07713,-5.95734,0.0367964
3300000,-0.305191,3.9786,6.50538,0.238451
3333333,8.07879,1.86576,5.94694,-0.630748
3333333,4.82931,-4.06213,-5.9063,0.0284094
3333333,-0.0739295,4.01813,6.51637,0.203128
3366666,8.238,1.72909,5.91784,-0.664354
3366666,4.64492,-4.03066,-5.9545,-0.00197683
3366666,0.183534,4.01231,6.52758,0.137271
3400000,8.38043,1.63831,5.9005,-0.662689
3400000,4.42481,-4.02149,-5.98961,-0.00470969
3400000,0.411461,4.03771,6.55385,0.110881
3433333,8.54504,1.52426,5.99148,-0.663687
3433333,4.21735,-4.02225,-5.97705,-0.000211816
3433333,0.680462,4.05224,6.7234,0.0826243
3466666,8.72266,1.43307,6.02409,-0.655433
3466666,4.05848,-3.9871,-5.85564,-0.0201518
3466666,0.945757,4.06866,6.86602,0.0568143
3500000,8.88591,1.2904,6.12207,-0.669951
3500000,3.83509,-4.00821,-5.94344,-0.0080171
3500000,1.21962,4.06389,7.02422,0.0297624
3533333,9.05613,1.16925,6.18368,-0.672413
3533333,3.634,-4.00612,-5.95392,-0.00939339
3533333,1.50612,4.05871,7.21895,0.00498135
3566666,9.23304,1.05633,6.20998,-0.672236
3566666,3.43217,-4.0064,-5.98984,-0.0131636
3566666,1.80442,4.05656,7.42717,-0.0203892
3600000,9.42341,0.923965,6.39769,-0.664796
3600000,3.2228,-4.03512,-5.9757,0.0116789
3600000,2.12357,4.04171,7.7504,-0.0327125
3633333,9.6086,0.824907,6.45499,-0.648458
3633333,3.02381,-4.03937,-5.95546,0.0174776
3633333,2.42835,4.03728,7.97231,-0.0416787
3666666,9.80328,0.719034,6.53618,-0.633283
3666666,2.83572,-4.05102,-5.91372,0.0264155
3666666,2.73686,4.02937,8.18636,-0.0490007
3700000,9.98587,0.562321,6.60944,-0.647928
