Time, ground truth x, ground truth y, ground truth v, ground truth yaw 
3000000,6.6,-4,-6,0
3000000,-2.01897,3.48884,7.16667,0.366667
3033333,6.7465,2.69474,5.85001,-0.526501
3033333,6.4,-4,-6,0
3033333,-1.79596,3.57449,7.25,0.366667
3066666,6.91509,2.59675,5.85001,-0.546001
3066666,6.2,-4,-6,0
3066666,-1.57036,3.66112,7.33334,0.366667
3100000,7.08174,2.4955,5.85001,-0.565501
3100000,6,-4,-6,0
3100000,-1.34216,3.74876,7.41667,0.366667
3133333,7.24638,2.39101,5.85001,-0.585001
3133333,5.8,-4,-6,0
3133333,-1.11137,3.83739,7.50001,0.366667
3166666,7.40896,2.28333,5.85001,-0.604501
3166666,5.6,-4,-6,0
3166666,-0.877988,3.92702,7.50001,0.241667
3200000,7.5694,2.1725,5.85001,-0.624001
3200000,5.4,-4,-6,0
3200000,-0.635253,3.98685,7.50001,0.116667
3233333,7.72765,2.05856,5.85001,-0.643501
3233333,5.2,-4,-6,0
3233333,-0.386952,4.01595,7.50001,-0.0083335
3266666,7.88365,1.94156,5.85001,-0.624001
3266666,5,-4,-6,0
3266666,-0.136961,4.01386,7.56667,-0.0083335
3300000,8.04191,1.82763,5.85001,-0.604501
3300000,4.8,-4,-6,0
3300000,0.115253,4.01176,7.63334,-0.0083335
3333333,8.20235,1.7168,5.85001,-0.585001
3333333,4.6,-4,-6,0
3333333,0.369689,4.00964,7.70001,-0.0083335
3366666,8.36492,1.60912,5.85001,-0.565501
3366666,4.4,-4,-6,0
3366666,0.626347,4.0075,7.76667,-0.0083335
3400000,8.52957,1.50463,5.85001,-0.546001
3400000,4.2,-4,-6,0
3400000,0.885227,4.00535,7.83334,-0.0083335
3433333,8.69622,1.40337,5.85001,-0.526501
3433333,4,-4,-6,0
3433333,1.14633,4.00317,7.9,-0.0083335
3466666,8.86481,1.30538,5.85001,-0.507001
3466666,3.8,-4,-6,0
3466666,1.40965,4.00098,7.96667,-0.0083335
3500000,9.03528,1.2107,5.85001,-0.487501
3500000,3.6,-4,-6,0
3500000,1.6752,3.99876,8.03334,-0.0083335
3533333,9.20756,1.11935,5.85001,-0.468001
3533333,3.4,-4,-6,0
3533333,1.94297,3.99653,8.10001,-0.0083335
3566666,9.38159,1.03139,5.85001,-0.448501
3566666,3.2,-4,-6,0
3566666,2.21296,3.99428,8.16667,-0.0083335
3600000,9.55731,0.946834,5.85001,-0.429001
3600000,3,-4,-6,0
3600000,2.48517,3.99201,8.23334,-0.0083335
3633333,9.73464,0.865721,5.85001,-0.409501
3633333,2.8,-4,-6,0
3633333,2.75961,3.98973,8.3,-0.0083335
3666666,9.91352,0.788081,5.85001,-0.390001
3666666,2.6,-4,-6,0
3666666,3.03626,3.98742,8.36667,-0.0083335
3700000,10.0939,0.713944,5.85001,-0.370501
3700000,2.4,-4,-6,0
3700000,3.31514,3.9851,8.43334,-0.0083335
3733333,10.2756,0.643338,5.85001,-0.351001
3733333,2.2,-4,-6,0
3733333,3.59625,3.98275,8.5,-0.0083335
3766666,10.4588,0.576289,5.85001,-0.331501
3766666,2,-4,-6,0
3766666,3.87957,3.98039,8.56667,-0.0083335
3800000,10.6431,0.512824,5.85001,-0.312001
3800000,1.8,-4,-6,0
3800000,4.16511,3.97801,8.63334,-0.0083335
3833333,10.8287,0.452966,5.85001,-0.292501
3833333,1.6,-4,-6,0
3833333,4.45288,3.97561,8.7,-0.0083335
3866666,11.0154,0.396738,5.85001,-0.273001
3866666,1.4,-4,-6,0
3866666,4.74287,3.9732,8.76667,-0.0083335
3900000,11.2032,0.344162,5.85001,-0.253501
3900000,1.2,-4,-6,0
3900000,5.03509,3.97076,8.83334,-0.0083335
3933333,11.392,0.295257,5.85001,-0.234001
3933333,0.999998,-4,-6,0
3933333,5.32952,3.96831,8.9,-0.0083335
3966666,11.5817,0.250042,5.85001,-0.2145
3966666,0.799998,-4,-5.9,0
3966666,5.62618,3.96584,8.96667,-0.0083335
4000000,11.7722,0.208534,5.85001,-0.195
4000000,0.603331,-4,-5.8,0
4000000,5.92505,3.96335,9.03334,-0.0083335
4033333,11.9635,0.17075,5.85001,-0.1755
4033333,0.409998,-4,-5.7,0
