Time, Lidar NIS, Radar NIS 
2833333,1.69768,2.00569
2833333,0.683499,0.967321
2833333,3.21502,0.871306
2866666,3.01879,4.42573
2866666,5.63324,2.60403
2866666,7.00405,3.89028
2900000,1.02558,5.44691
2900000,2.13531,4.36237
2900000,0.594294,5.57801
2933333,4.17129,7.5887
2933333,4.33434,5.61108
2933333,1.12782,8.15819
2966666,0.99498,4.24838
2966666,1.96909,3.11028
2966666,1.24685,5.09582
3000000,4.06479,3.29842
3000000,5.24289,2.73145
3000000,3.58831,2.27783
3033333,0.430979,8.58025
3033333,0.426618,8.83147
3033333,0.331838,12.3691
3066666,5.74987,1.57947
3066666,3.01478,1.24946
3066666,4.51695,1.76257
3100000,0.129199,3.62364
3100000,0.171992,4.66815
3100000,0.739331,5.26191
3133333,0.901449,1.93139
3133333,1.30424,1.36247
3133333,3.16846,2.89525
3166666,2.07993,1.51491
3166666,1.25041,2.0473
3166666,3.36019,2.2103
3200000,2.34578,0.258524
3200000,0.981367,0.301038
3200000,2.2826,2.38005
3233333,1.13846,3.07763
3233333,0.464759,2.80838
3233333,0.649183,12.7808
3266666,2.54394,9.54651
3266666,1.92141,9.8329
3266666,0.362344,44.9676
3300000,0.223862,3.69684
3300000,0.822628,2.72278
3300000,1.09825,25.1326
3333333,1.17809,2.99165
3333333,2.65648,1.4856
3333333,1.79408,10.7256
3366666,1.8597,3.00872
3366666,1.57868,8.9018
3366666,9.10163,25.3531
3400000,5.42715,2.95944
3400000,6.48122,0.351274
3400000,0.81809,2.77725
3433333,0.189093,7.82507
3433333,0.482323,2.6818
3433333,2.00767,6.95548
3466666,2.89087,4.83932
3466666,2.63845,2.33284
3466666,9.97366,0.311929
3500000,1.77122,2.72756
3500000,2.51698,0.250485
3500000,2.3249,6.07996
3533333,0.125895,2.62963
3533333,0.0268526,0.549488
3533333,3.49612,5.48416
3566666,0.983672,5.03246
3566666,0.257223,5.6002
3566666,2.60725,10.4806
3600000,0.768877,16.8414
3600000,0.937757,9.06631
3600000,4.81023,25.3499
3633333,2.13552,5.14291
3633333,0.704588,1.33615
3633333,1.75708,10.6064
3666666,1.1018,4.93496
